X,Y
-122.3794356,47.58937159
-122.397427,47.63962151
-122.3274189,47.58468117
-122.3273618,47.57225922
-122.3322033,47.61449126
-122.3095728,47.65824676
-122.3465929,47.6164506
-122.3290259,47.62081579
-122.3391391,47.61363046
-122.3258535,47.58994209
-122.3289412,47.57796717
-122.3656986,47.5083452
-122.3658687,47.50111353
-122.3795212,47.58949597
-122.3176693,47.69738921
-122.3222226,47.73396714
-122.3249875,47.70126429
-122.2783806,47.52337413
-122.2989248,47.58432552
-122.3762858,47.5624443
-122.2637262,47.67929192
-122.3203715,47.61955314
-122.3035005,47.64969745
-122.3038692,47.64969566
-122.3200222,47.61962041
-122.3316688,47.61350865
-122.3274082,47.58187141
-122.3272453,47.58058564
-122.327402,47.58022924
-122.3275585,47.57179202
-122.327726,47.59009044
-122.3113782,47.57967351
-122.3302757,47.5798732
-122.3589007,47.69236479
-122.3112657,47.57911777
-122.3275051,47.57993962
-122.3273372,47.5918034
-122.3406779,47.61421736
-122.3274609,47.59191995
-122.3273802,47.58819733
-122.327263,47.59200729
-122.3276247,47.58551733
-122.3274238,47.58596442
-122.3274153,47.58659373
-122.3276033,47.57918706
-122.3283465,47.57987236
-122.3269753,47.59227289
-122.3274157,47.5838386
-122.309566,47.65846604
-122.309585,47.65785389
-122.3095918,47.65763461
-122.3132009,47.65394628
-122.3236777,47.71954908
-122.3413859,47.61742515
-122.3542694,47.61744671
-122.3537822,47.61761574
-122.3535781,47.61746259
-122.3540334,47.618341
-122.3425107,47.61634778
-122.3422038,47.61679347
-122.3280627,47.63028601
-122.3472687,47.61571857
-122.3474352,47.61579798
-122.329302,47.62695454
-122.3293249,47.62791061
-122.3151654,47.66270068
-122.315292,47.66206739
-122.3387161,47.61752771
-122.3416022,47.61371014
-122.3383364,47.61684589
-122.3208118,47.6625303
-122.3112286,47.73217314
-122.3278011,47.59735991
-122.3278012,47.59741777
-122.3316974,47.61470982
-122.3318759,47.61463271
-122.3538983,47.51559031
-122.3045719,47.65086872
-122.3095413,47.65931503
-122.3095453,47.65917135
-122.309552,47.65893214
-122.3398925,47.61482335
-122.3378023,47.61466592
-122.3408548,47.61230601
-122.3399935,47.61297183
-122.3247739,47.5920998
-122.3258523,47.59231899
-122.3248383,47.5906921
-122.3277452,47.6010668
-122.3277479,47.60046493
-122.3301392,47.60093967
-122.3313704,47.5999635
-122.3289407,47.57909757
-122.3289435,47.57664571
-122.3415695,47.61707524
-122.3408494,47.61783986
-122.3755369,47.67605306
-122.3664722,47.67604693
-122.2960893,47.61261623
-122.3020522,47.73528104
-122.3418822,47.61683374
-122.3443858,47.61312502
-122.3431958,47.61249885
-122.3408655,47.61428044
-122.340456,47.61459556
-122.3658472,47.50254418
-122.3658641,47.5047245
-122.3658984,47.50791561
-122.3659245,47.51032494
-122.3659577,47.51352594
-122.365994,47.51701149
-122.3370957,47.55353572
-122.3394403,47.55849449
-122.3394561,47.55936629
-122.3394592,47.5618654
-122.3394516,47.56427663
-122.3657641,47.51436179
-122.3657234,47.51044068
-122.3705757,47.50812719
-122.3754532,47.50811535
-122.3656631,47.50489355
-122.3656442,47.50306422
-122.3656657,47.50115567
-122.3656897,47.499491
-122.3690849,47.49921775
-122.368294,47.50105326
-122.3014366,47.73375118
-122.3176986,47.69012967
-122.3043828,47.73378303
-122.3176856,47.69386608
-122.3176783,47.6954718
-122.3114354,47.73386291
-122.3155712,47.73390438
-122.3213519,47.73409602
-122.3174698,47.69780435
-122.316702,47.73405215
-122.3174729,47.69596482
-122.3174812,47.69417044
-122.3131418,47.73401852
-122.3174983,47.69062367
-122.3052207,47.73392964
-122.3177962,47.7019146
-122.3178798,47.7046929
-122.3179226,47.70741147
-122.3183562,47.70862705
-122.3177227,47.70763486
-122.3176862,47.70510703
-122.3176335,47.70326404
-122.3175782,47.70142039
-122.3060248,47.68297285
-122.2957423,47.73370547
-122.3098964,47.68297242
-122.2989064,47.7337309
-122.3174399,47.68693288
-122.3023622,47.73389713
-122.3088742,47.6831095
-122.3018483,47.73524152
-122.2995852,47.73387343
-122.2969133,47.73385198
-122.2934351,47.7338239
-122.3026119,47.73737999
-122.3236361,47.73618632
-122.2955156,47.7189549
-122.3249739,47.73246355
-122.3068057,47.65942891
-122.3064055,47.65232993
-122.3455928,47.73419145
-122.3410846,47.73405736
-122.3177442,47.70910494
-122.3174117,47.70848414
-122.3227132,47.7085166
-122.3148277,47.71234744
-122.3235147,47.73905568
-122.323445,47.73671671
-122.3287586,47.73099216
-122.3237078,47.73872491
-122.3237809,47.74105995
-122.3313738,47.54512297
-122.3400005,47.51212981
-122.3391498,47.51020511
-122.3393449,47.50998181
-122.3297009,47.54394881
-122.3390418,47.55768131
-122.3909971,47.63487237
-122.3561884,47.70461135
-122.3689968,47.69828317
-122.3418458,47.70511033
-122.3395298,47.51170872
-122.3732609,47.54472857
-122.3646247,47.5226014
-122.3749084,47.52821037
-122.3847985,47.53428693
-122.3907033,47.56445067
-122.4029159,47.57001615
-122.3941667,47.5758986
-122.4027044,47.56693632
-122.3871345,47.54160491
-122.3845535,47.53242879
-122.3724289,47.52834644
-122.3551956,47.50672019
-122.3538473,47.507878
-122.3538446,47.50837563
-122.3538497,47.50981616
-122.3539924,47.51380342
-122.3541122,47.51693593
-122.3455198,47.51921324
-122.3630511,47.52665052
-122.3641093,47.52461044
-122.3125816,47.73018531
-122.3468145,47.523078
-122.3468212,47.52439918
-122.3468402,47.5280494
-122.3468516,47.52988579
-122.3468637,47.53172144
-122.3470788,47.53345249
-122.3471813,47.5362682
-122.3417761,47.54044744
-122.337676,47.53994312
-122.3309769,47.5450327
-122.33749,47.53976929
-122.3430392,47.54020899
-122.3445325,47.53985922
-122.3463544,47.53850067
-122.3469101,47.53362876
-122.3466772,47.53217936
-122.3466523,47.5303568
-122.3466406,47.52853133
-122.3466217,47.52496714
-122.2775765,47.53698188
-122.3015984,47.54064078
-122.3070247,47.51107052
-122.3280172,47.53402781
-122.3108071,47.51298126
-122.3312729,47.53421835
-122.3310566,47.53407966
-122.3453249,47.52072532
-122.353809,47.51416448
-122.353691,47.51034165
-122.3536456,47.50777951
-122.3294194,47.55512826
-122.3233457,47.54040025
-122.2756716,47.53712333
-122.3283283,47.53405931
-122.3277426,47.53205324
-122.3282507,47.53216963
-122.314738,47.51623596
-122.3150292,47.52450968
-122.3227127,47.53163103
-122.3227392,47.53006284
-122.3227671,47.5284055
-122.3227947,47.52674978
-122.322979,47.52783138
-122.3229508,47.52951615
-122.2962221,47.60758992
-122.2968758,47.6039837
-122.3392027,47.72313551
-122.3445174,47.72330096
-122.3148253,47.52459858
-122.3148597,47.52256431
-122.3150715,47.51682894
-122.3133979,47.51510536
-122.3109577,47.51315846
-122.3072883,47.51146871
-122.344923,47.50907343
-122.3447734,47.50983577
-122.3278119,47.60904315
-122.3179587,47.60195317
-122.3125336,47.54972932
-122.2977267,47.57642963
-122.2701534,47.50968412
-122.2701244,47.51407356
-122.2701119,47.51668209
-122.2700855,47.51878644
-122.2656033,47.51432121
-122.2640666,47.51330926
-122.2603549,47.51085559
-122.2563761,47.50819729
-122.2545538,47.50649891
-122.2533526,47.5053883
-122.2622386,47.51209757
-122.3142833,47.59574161
-122.3138587,47.59587905
-122.2978495,47.57698499
-122.2966063,47.57232316
-122.2966579,47.56822059
-122.2966667,47.56662946
-122.253156,47.50497479
-122.2565681,47.50814311
-122.2585432,47.50947221
-122.2604638,47.51073618
-122.2623078,47.51195166
-122.264515,47.51341369
-122.2655241,47.51407723
-122.2675088,47.51538158
-122.2693127,47.51656688
-122.294701,47.56332815
-122.2932548,47.56113961
-122.2928768,47.56026974
-122.2918554,47.5588711
-122.2897353,47.55523171
-122.2795733,47.52225811
-122.2879269,47.55149363
-122.2864668,47.54838984
-122.2854454,47.54633836
-122.283749,47.54285912
-122.2802741,47.53486143
-122.280878,47.53127938
-122.2809793,47.53511205
-122.2812748,47.53682781
-122.2814556,47.53752874
-122.2821259,47.53856233
-122.2818776,47.5392132
-122.2816632,47.53847891
-122.2809435,47.53734333
-122.2804512,47.53180342
-122.2839267,47.54219672
-122.2856566,47.54576337
-122.2867261,47.5480402
-122.2881736,47.55095695
-122.2799781,47.52813362
-122.2787806,47.523653
-122.2790657,47.52294264
-122.2900571,47.5549352
-122.2921197,47.55841974
-122.2923313,47.55894945
-122.2933878,47.5603955
-122.2946352,47.56241143
-122.269881,47.51894971
-122.2699229,47.51418393
-122.2699334,47.51245644
-122.2968774,47.56598465
-122.297089,47.56789425
-122.2970513,47.57156967
-122.2968127,47.57578511
-122.2699503,47.50980743
-122.3119745,47.68257626
-122.3021512,47.69124808
-122.3052596,47.69527556
-122.3129164,47.6708705
-122.3129029,47.66875882
-122.3129535,47.66518221
-122.3878973,47.56300967
-122.3866186,47.58939017
-122.3861947,47.58704322
-122.3862483,47.58556958
-122.3864206,47.58142917
-122.3865227,47.58375421
-122.3012737,47.56047243
-122.2939611,47.56090435
-122.3026873,47.58804383
-122.3024896,47.59161822
-122.3023073,47.59531817
-122.3028032,47.61269236
-122.3027418,47.61511272
-122.2707985,47.56183893
-122.2708113,47.56380539
-122.273256,47.56403147
-122.275419,47.56402389
-122.2771722,47.56401812
-122.2804132,47.56400566
-122.2850035,47.56404711
-122.2871534,47.56402913
-122.2857594,47.56417764
-122.307497,47.69086544
-122.2820364,47.56420846
-122.2773158,47.56415474
-122.2748125,47.56416319
-122.2733026,47.56416838
-122.2714441,47.56417409
-122.2706046,47.56315352
-122.2705897,47.56078982
-122.2705702,47.55844774
-122.2696299,47.55491217
-122.386455,47.58545042
-122.2634629,47.55299348
-122.2621506,47.55123909
-122.2588818,47.5499238
-122.2590416,47.54878016
-122.2601834,47.54775374
-122.2619094,47.54631336
-122.2644881,47.54233512
-122.2658734,47.54069299
-122.3023772,47.62059845
-122.2671544,47.53716284
-122.2693205,47.5233685
-122.2841515,47.56419159
-122.3808523,47.56100983
-122.3931783,47.56108461
-122.3947904,47.55957848
-122.3948309,47.55749105
-122.3948618,47.55583806
-122.3940582,47.55402368
-122.3935855,47.55214207
-122.3936554,47.55021675
-122.3937508,47.5469378
-122.2661644,47.55490576
-122.3942645,47.54308656
-122.3950805,47.54196909
-122.3965415,47.54080762
-122.3965887,47.5432083
-122.3983629,47.54560875
-122.3981354,47.54770912
-122.3978062,47.5502113
-122.3980925,47.55212695
-122.3993852,47.55404453
-122.2671014,47.53882326
-122.4008293,47.5569679
-122.4013706,47.55767039
-122.4056928,47.56234271
-122.4070474,47.56475147
-122.4081476,47.56576197
-122.4095958,47.56749008
-122.4100447,47.5699411
-122.4110746,47.57112737
-122.4135234,47.57285197
-122.4134441,47.57569087
-122.3770747,47.56099481
-122.4105242,47.57922573
-122.4082209,47.58003762
-122.4055471,47.58119594
-122.4012377,47.5834538
-122.3985196,47.58580236
-122.3960019,47.58799124
-122.3950248,47.58882587
-122.3941588,47.54598363
-122.3897936,47.59396267
-122.3876489,47.59500459
-122.38569,47.59520831
-122.3822534,47.59118151
-122.3805427,47.58885998
-122.378579,47.58745657
-122.3801308,47.58945505
-122.3737496,47.58289973
-122.3731159,47.58215109
-122.3713264,47.57674926
-122.3706113,47.57201042
-122.3718795,47.57743629
-122.3708122,47.57198815
-122.3713365,47.57587491
-122.3735667,47.58242926
-122.4133715,47.57808405
-122.3783623,47.58710124
-122.3802891,47.58846306
-122.3833888,47.59316809
-122.3857544,47.59507795
-122.3134131,47.65355117
-122.3127366,47.73791983
-122.3071451,47.73743654
-122.3123007,47.73749331
-122.301873,47.73730389
-122.3129221,47.73733288
-122.2923268,47.73446053
-122.2921266,47.72800967
-122.2927827,47.72356491
-122.2944566,47.72037568
-122.2933884,47.72268443
-122.2923315,47.72807586
-122.2925,47.73314167
-122.3237112,47.73509949
-122.3241532,47.73366312
-122.3530375,47.73794293
-122.308675,47.65203838
-122.3060791,47.65231907
-122.3050118,47.65370553
-122.3111534,47.6550401
-122.3045554,47.65725134
-122.3546908,47.73565659
-122.3532371,47.73777647
-122.3450011,47.7349189
-122.3471518,47.66168343
-122.3474779,47.66166678
-122.3610221,47.66709556
-122.3048944,47.65687451
-122.3109026,47.65509724
-122.3084674,47.65214197
-122.3051965,47.65436144
-122.3088013,47.65969024
-122.3551175,47.73419316
-122.3529098,47.73419288
-122.3481928,47.73419198
-122.3414386,47.73419417
-122.3379908,47.73419691
-122.3347079,47.73419912
-122.3319112,47.73418132
-122.3287823,47.73415719
-122.3240591,47.73412055
-122.3234619,47.73443187
-122.3284461,47.72686272
-122.3286328,47.70472591
-122.3283865,47.73401703
-122.3312104,47.73403864
-122.3339412,47.73405991
-122.3377265,47.73405999
-122.3446837,47.73405457
-122.3473802,47.73405479
