,join_fid,awning,cross_stre,on_street,lat,lon,type,name,address,HOODS_,HOODS_ID,S_HOOD,L_HOOD,L_HOODID
346640,1593,NO,42nd Ave W,West Viewmont Way W,47.6413924849,-122.409771547,Bus Stop,,,53.0,141.0,Briarcliff,MAGNOLIA,8.0
346641,1594,NO,W Raye St,West Viewmont Way W,47.6432757867,-122.409740109,Bus Stop,,,53.0,141.0,Briarcliff,MAGNOLIA,8.0
346711,1497,NO,35th Ave W,Viewmont Way W,47.6390043261,-122.402177693,Bus Stop,,,53.0,141.0,Briarcliff,MAGNOLIA,8.0
346818,1897,NO,W Fulton St,28th Ave W,47.6456863998,-122.392806118,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
346819,1917,NO,W Fulton St,28th Ave W,47.6457345673,-122.393008352,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
346993,1496,NO,Edgemont Pl W,Viewmont Way W,47.6379067844,-122.403713793,Bus Stop,,,53.0,141.0,Briarcliff,MAGNOLIA,8.0
347000,1590,NO,Edgemont Pl W,Viewmont Way W,47.6377009837,-122.403718107,Bus Stop,,,53.0,141.0,Briarcliff,MAGNOLIA,8.0
347233,1898,NO,W Raye St,28th Ave W,47.6435852333,-122.392832871,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
347235,2116,NO,W Raye St,28th Ave W,47.6432343261,-122.393041009,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
347384,1899,NO,W Halladay St,28th Ave W,47.6422626911,-122.392849256,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
347617,2402,NO,W Armour St,9th Ave W,47.6453144174,-122.369266875,Bus Stop,,,48.0,140.0,North Queen Anne,QUEEN ANNE,10.0
348042,1913,NO,W Crockett St,28th Ave W,47.6378620913,-122.392907845,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
348043,1914,NO,W Crockett St,28th Ave W,47.6375126478,-122.39311614,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
348147,1494,NO,Montavista Pl W,West Viewmont Way W,47.6387114018,-122.407232433,Bus Stop,,,53.0,141.0,Briarcliff,MAGNOLIA,8.0
348602,1495,NO,Constance Dr W,West Viewmont Way W,47.6373277849,-122.405888355,Bus Stop,,,53.0,141.0,Briarcliff,MAGNOLIA,8.0
348727,1591,NO,Montavista Pl W,West Viewmont Way W,47.6384800407,-122.407167302,Bus Stop,,,53.0,141.0,Briarcliff,MAGNOLIA,8.0
348728,2006,NO,Constance Dr W,West Viewmont Way W,47.637337644,-122.406204641,Bus Stop,,,53.0,141.0,Briarcliff,MAGNOLIA,8.0
349641,557,NO,W Armour St,22nd Ave W,47.6450493209,-122.384532783,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
349647,587,NO,W Armour St,22nd Ave W,47.6445332348,-122.384732054,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
349654,1796,NO,Troll Ave N,N 35th St,47.650026494,-122.347040906,Bus Stop,,,35.0,137.0,Fremont,NO BROADER TERM,6.0
349655,1797,YES,N 34th St,Fremont Ave N,47.6498564201,-122.349664184,Bus Stop,,,35.0,137.0,Fremont,NO BROADER TERM,6.0
